time,pid_tb.derivative[31:0]
0,0
29100000,0
29100000,2000
50700000,2000
50700000,1797
57900000,1797
57900000,1719
65100000,1719
65100000,1640
72300000,1640
72300000,1583
79500000,1583
79500000,1520
86700000,1520
86700000,1460
93900000,1460
93900000,1401
101100000,1401
101100000,1345
108300000,1345
108300000,1290
115500000,1290
115500000,1238
122700000,1238
122700000,1188
129900000,1188
129900000,1140
137100000,1140
137100000,1093
144300000,1093
144300000,1049
151500000,1049
151500000,1006
158700000,1006
158700000,965
165900000,965
165900000,925
173100000,925
173100000,887
180300000,887
180300000,850
187500000,850
187500000,815
194700000,815
194700000,781
201900000,781
201900000,748
209100000,748
209100000,717
216300000,717
216300000,686
223500000,686
223500000,657
230700000,657
230700000,629
237900000,629
237900000,602
245100000,602
245100000,576
252300000,576
252300000,551
259500000,551
259500000,527
266700000,527
266700000,504
273900000,504
273900000,482
281100000,482
281100000,460
288300000,460
288300000,439
295500000,439
295500000,420
302700000,420
302700000,401
309900000,401
309900000,383
317100000,383
317100000,365
324300000,365
324300000,348
331500000,348
331500000,332
338700000,332
338700000,316
345900000,316
345900000,301
353100000,301
353100000,287
360300000,287
360300000,273
367500000,273
367500000,259
374700000,259
374700000,246
381900000,246
381900000,234
389100000,234
389100000,222
396300000,222
396300000,211
403500000,211
403500000,200
410700000,200
410700000,189
417900000,189
417900000,179
425100000,179
425100000,169
432300000,169
432300000,160
439500000,160
439500000,151
446700000,151
446700000,142
453900000,142
453900000,134
461100000,134
461100000,125
468300000,125
468300000,118
475500000,118
475500000,110
482700000,110
482700000,103
489900000,103
489900000,96
497100000,96
497100000,90
504300000,90
504300000,83
511500000,83
511500000,77
518700000,77
518700000,71
525900000,71
525900000,66
533100000,66
533100000,60
540300000,60
540300000,55
547500000,55
547500000,50
554700000,50
554700000,45
561900000,45
561900000,40
569100000,40
569100000,36
576300000,36
576300000,32
583500000,32
583500000,28
590700000,28
590700000,23
597900000,23
597900000,20
605100000,20
605100000,16
612300000,16
612300000,13
619500000,13
619500000,9
626700000,9
626700000,6
633900000,6
633900000,3
641100000,3
641100000,0
648300000,0
648300000,-3
655500000,-3
655500000,-6
662700000,-6
662700000,-8
669900000,-8
669900000,-11
677100000,-11
677100000,-13
684300000,-13
684300000,-16
691500000,-16
691500000,-18
698700000,-18
698700000,-20
705900000,-20
705900000,-22
713100000,-22
713100000,-24
720300000,-24
720300000,-26
727500000,-26
727500000,-28
734700000,-28
734700000,-30
741900000,-30
741900000,-32
749100000,-32
749100000,-33
756300000,-33
756300000,-35
763500000,-35
763500000,-36
770700000,-36
770700000,-38
777900000,-38
777900000,-39
785100000,-39
785100000,-40
792300000,-40
792300000,-41
799500000,-41
799500000,-43
806700000,-43
806700000,-44
813900000,-44
813900000,-45
821100000,-45
821100000,-46
828300000,-46
828300000,-47
835500000,-47
835500000,-48
842700000,-48
842700000,-49
857100000,-49
857100000,-50
864300000,-50
864300000,-51
871500000,-51
871500000,-52
878700000,-52
878700000,-53
885900000,-53
885900000,-54
893100000,-54
893100000,-55
907500000,-55
907500000,-56
921900000,-56
921900000,-57
929100000,-57
929100000,-58
943500000,-58
943500000,-59
965100000,-59
965100000,-60
986700000,-60
986700000,-61
1001100000,-61
1001100000,-62
1022700000,-62
1022700000,-63
1058700000,-63
1058700000,-64
1101900000,-64
1101900000,-65
1145100000,-65
1145100000,-66
1353900000,-66
1353900000,-65
1361100000,-65
1361100000,-66
1411500000,-66
1411500000,-65
1512300000,-65
1512300000,-64
1562700000,-64
1562700000,-63
1598700000,-63
1598700000,-64
1613100000,-64
1613100000,-63
1670700000,-63
1670700000,-62
1742700000,-62
1742700000,-61
1764300000,-61
1764300000,-62
1771500000,-62
