time,pid_tb.proportional[31:0]
0,0
29100000,0
29100000,1250
36300000,1250
36300000,2500
43500000,2500
43500000,3750
50700000,3750
50700000,4870
57900000,4870
57900000,5940
65100000,5940
65100000,6970
72300000,6970
72300000,7960
79500000,7960
79500000,8910
86700000,8910
86700000,9820
93900000,9820
93900000,10700
101100000,10700
101100000,11540
108300000,11540
108300000,12340
115500000,12340
115500000,13120
122700000,13120
122700000,13860
129900000,13860
129900000,14570
137100000,14570
137100000,15250
144300000,15250
144300000,15910
151500000,15910
151500000,16540
158700000,16540
158700000,17140
165900000,17140
165900000,17720
173100000,17720
173100000,18270
180300000,18270
180300000,18810
187500000,18810
187500000,19310
194700000,19310
194700000,19800
201900000,19800
201900000,20270
209100000,20270
209100000,20720
216300000,20720
216300000,21150
223500000,21150
223500000,21560
230700000,21560
230700000,21950
237900000,21950
237900000,22330
245100000,22330
245100000,22690
252300000,22690
252300000,23030
259500000,23030
259500000,23360
266700000,23360
266700000,23680
273900000,23680
273900000,23980
281100000,23980
281100000,24260
288300000,24260
288300000,24540
295500000,24540
295500000,24800
302700000,24800
302700000,25050
309900000,25050
309900000,25290
317100000,25290
317100000,25520
324300000,25520
324300000,25740
331500000,25740
331500000,25940
338700000,25940
338700000,26140
345900000,26140
345900000,26330
353100000,26330
353100000,26510
360300000,26510
360300000,26680
367500000,26680
367500000,26840
374700000,26840
374700000,27000
381900000,27000
381900000,27140
389100000,27140
389100000,27280
396300000,27280
396300000,27410
403500000,27410
403500000,27540
410700000,27540
410700000,27660
417900000,27660
417900000,27770
425100000,27770
425100000,27870
432300000,27870
432300000,27970
439500000,27970
439500000,28070
446700000,28070
446700000,28160
453900000,28160
453900000,28240
461100000,28240
461100000,28320
468300000,28320
468300000,28390
475500000,28390
475500000,28460
482700000,28460
482700000,28530
489900000,28530
489900000,28590
497100000,28590
497100000,28640
504300000,28640
504300000,28690
511500000,28690
511500000,28740
518700000,28740
518700000,28790
525900000,28790
525900000,28830
533100000,28830
533100000,28860
540300000,28860
540300000,28900
547500000,28900
547500000,28930
554700000,28930
554700000,28960
561900000,28960
561900000,28980
569100000,28980
569100000,29010
576300000,29010
576300000,29030
583500000,29030
583500000,29040
590700000,29040
590700000,29060
597900000,29060
597900000,29070
605100000,29070
605100000,29080
612300000,29080
612300000,29090
626700000,29090
626700000,29100
655500000,29100
655500000,29090
669900000,29090
669900000,29080
677100000,29080
677100000,29070
684300000,29070
684300000,29060
691500000,29060
691500000,29050
698700000,29050
698700000,29040
705900000,29040
705900000,29030
713100000,29030
713100000,29010
720300000,29010
720300000,29000
727500000,29000
727500000,28980
734700000,28980
734700000,28960
741900000,28960
741900000,28940
749100000,28940
749100000,28920
756300000,28920
756300000,28900
763500000,28900
763500000,28870
770700000,28870
770700000,28850
777900000,28850
777900000,28830
785100000,28830
785100000,28800
792300000,28800
792300000,28780
799500000,28780
799500000,28750
806700000,28750
806700000,28720
813900000,28720
813900000,28690
821100000,28690
821100000,28660
828300000,28660
828300000,28630
835500000,28630
835500000,28600
842700000,28600
842700000,28570
849900000,28570
849900000,28540
857100000,28540
857100000,28510
864300000,28510
864300000,28480
871500000,28480
871500000,28450
878700000,28450
878700000,28410
885900000,28410
885900000,28380
893100000,28380
893100000,28350
900300000,28350
900300000,28310
907500000,28310
907500000,28280
914700000,28280
914700000,28240
921900000,28240
921900000,28210
929100000,28210
929100000,28170
936300000,28170
936300000,28130
943500000,28130
943500000,28100
950700000,28100
950700000,28060
957900000,28060
957900000,28020
965100000,28020
965100000,27990
972300000,27990
972300000,27950
979500000,27950
979500000,27910
986700000,27910
986700000,27870
993900000,27870
993900000,27830
1001100000,27830
1001100000,27800
1008300000,27800
1008300000,27760
